timestamp,message,logStreamName
1698139823928,> node index.js,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825631,2023-10-24T09:30:25.630Z ERROR: Schema: /workspace not supported,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,node:events:495,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,      throw er; // Unhandled 'error' event,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,      ^,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,Error: listen EACCES: permission denied 0.0.0.0:80,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,    at Server.setupListenHandle [as _listen2] (node:net:1800:21),wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,    at listenInCluster (node:net:1865:12),wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,    at Server.listen (node:net:1953:7),wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,    at Server.<anonymous> (/usr/src/app/infrastructure/server.js:73:65),wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,    at Generator.next (<anonymous>),wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,    at fulfilled (/usr/src/app/infrastructure/server.js:5:58),wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,Emitted 'error' event on Server instance at:,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,    at emitErrorNT (node:net:1844:8),wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,    at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,"  code: 'EACCES',",wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,"  errno: -13,",wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,"  syscall: 'listen',",wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,"  address: '0.0.0.0',",wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,  port: 80,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,},wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825803,Node.js v18.18.2,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825822,npm notice ,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825823,npm notice New major version of npm available! 9.8.1 -> 10.2.1,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825823,npm notice Changelog: <https://github.com/npm/cli/releases/tag/v10.2.1>,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139825823,npm notice Run `npm install -g npm@10.2.1` to update!,wp/lambdaorm/239fcb49621f49f78c99089d82310742
